time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
1.6289,1,120.45,26.633,-22.337,0.45584,2.3571,0.1306,0,0,0.0094918
1.6348,1,120.42,26.663,-22.369,0.4536,2.3558,0.13058,0,0,0.0093793
1.6407,1,120.39,26.692,-22.4,0.45177,2.3537,0.13056,0,0,0.0092868
1.6466,1,120.37,26.722,-22.431,0.45034,2.3512,0.13055,0,0,0.0092117
1.6526,1,120.35,26.751,-22.462,0.44926,2.3485,0.13053,0,0,0.0091518
1.6585,1,120.34,26.78,-22.492,0.4485,2.3455,0.13052,0,0,0.009105
1.6645,1,120.33,26.809,-22.522,0.44802,2.3425,0.13051,0,0,0.0090694
1.6704,1,120.32,26.838,-22.551,0.44777,2.3394,0.1305,0,0,0.0090434
1.6764,1,120.31,26.867,-22.581,0.44772,2.3363,0.13049,0,0,0.0090256
1.6823,1,120.3,26.895,-22.609,0.44783,2.3331,0.13048,0,0,0.0090148
1.6883,1,120.31,26.923,-22.637,0.44811,2.3223,0.13048,0,0,0.0090428
1.6943,1,120.34,26.95,-22.663,0.44857,2.3066,0.13049,0,0,0.0091138
1.7002,1,120.37,26.978,-22.689,0.44915,2.2988,0.1305,0,0,0.0091818
1.7063,1,120.39,27.005,-22.715,0.44991,2.2926,0.1305,0,0,0.00925
1.7123,1,120.41,27.032,-22.741,0.45084,2.2878,0.13051,0,0,0.0093176
1.7184,1,120.43,27.059,-22.767,0.45199,2.2837,0.13051,0,0,0.0093866
1.7245,1,120.45,27.086,-22.793,0.45336,2.2802,0.13051,0,0,0.0094567
1.7306,1,120.47,27.113,-22.818,0.45499,2.2768,0.13052,0,0,0.0095309
1.7367,1,120.49,27.139,-22.844,0.45688,2.2725,0.13052,0,0,0.0096138
1.7429,1,120.51,27.166,-22.869,0.45903,2.2683,0.13053,0,0,0.0097046
1.7491,1,120.53,27.192,-22.894,0.46146,2.2644,0.13053,0,0,0.0098013
1.7553,1,120.55,27.218,-22.919,0.46413,2.2609,0.13053,0,0,0.0099029
1.7615,1,120.56,27.244,-22.944,0.46705,2.2577,0.13054,0,0,0.010009
1.7678,1,120.58,27.27,-22.969,0.47018,2.2546,0.13054,0,0,0.010119
1.774,1,120.6,27.296,-22.994,0.47352,2.2512,0.13055,0,0,0.010235
1.7803,1,120.62,27.322,-23.019,0.47703,2.2472,0.13055,0,0,0.010359
1.7866,1,120.65,27.347,-23.043,0.48071,2.2423,0.13056,0,0,0.010495
1.7929,1,120.67,27.373,-23.067,0.48449,2.2397,0.13056,0,0,0.010627
1.7992,1,120.68,27.398,-23.091,0.48832,2.2388,0.13056,0,0,0.010751
1.8055,1,120.7,27.423,-23.115,0.49216,2.2362,0.13057,0,0,0.010878
1.8118,1,120.72,27.447,-23.139,0.49591,2.2352,0.13057,0,0,0.010998
1.818,1,120.73,27.472,-23.163,0.49947,2.236,0.13057,0,0,0.011101
1.8243,1,120.73,27.496,-23.188,0.50273,2.2371,0.13057,0,0,0.01119
